"External ID","Name","Attribute Values","Customer Taxes","Internal Reference","Sale Price","Vendor Taxes","Customer Taxes/Amount","Customer Taxes/Display Name","Customer Taxes/ID","Customer Taxes/Tax Name","# Product Variants"
"__export__.product_product_5768_eba3ac11","Carrot Julienne KG","","__export__.account_tax_4_2705eab1","","2.6","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5770_6ec5dc57","Carrot Plastic 10kg BAG","","__export__.account_tax_4_2705eab1","","11.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19878_b8bab1cb","Cassava CASE","","__export__.account_tax_4_2705eab1","","39.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5779_ec761f10","Cauliflower CASE","","__export__.account_tax_4_2705eab1","","17.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_22063_2d593cd2","Caustic Soda Sodium Hydroxide 10KG CASE","","l10n_generic_coa.1_sale_tax_template","","45.0","__export__.account_tax_6_cba05c03","23.0","23%","1","23%","1"
"__export__.product_product_20541_b9ba0cd6","Celeriac CASE","","__export__.account_tax_4_2705eab1","","13.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_21070_6803286d","Chang Tamarind Without Seed 50*454g CASE","","__export__.account_tax_4_2705eab1","","75.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5789_9ab66dda","ChangSi Big Red Jujube (dates) 24x454g CASE","","__export__.account_tax_4_2705eab1","","77.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19617_3f2bae24","ChangSi Big Red Jujube (dates) 24x454g HA MI CASE","","__export__.account_tax_4_2705eab1","","73.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_19621_31c34baa","ChangSi Ejiao Honey Jujube (dates) 20x235g CASE","","__export__.account_tax_4_2705eab1","","44.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5791_fa8cda1c","ChangSi Ejiao Royal Jujube(Date) 28*227g CASE","","__export__.account_tax_4_2705eab1","","0.0","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
"__export__.product_product_5793_2e59fd0c","ChangSi Premium Jinsi Jujube seedless 30*250g CASE","","__export__.account_tax_4_2705eab1","","69.5","__export__.account_tax_6_cba05c03","0.0","0%","4","0%","1"
